MOVIE_ID,YEAR,MONTH,DAY,SEASON,WEEKDAY,TIME
346,2006,12,7,winter,Thursday,2006-12-07
347,2006,1,7,winter,Saturday,2006-01-07
348,2007,2,9,winter,Friday,2007-02-09
349,2001,11,29,autumn,Thursday,2001-11-29
350,2001,7,31,summer,Tuesday,2001-07-31
351,2011,2,25,winter,Friday,2011-02-25
352,2012,5,17,spring,Thursday,2012-05-17
353,2004,1,20,winter,Tuesday,2004-01-20
354,2006,7,25,summer,Tuesday,2006-07-25
355,2012,9,4,autumn,Tuesday,2012-09-04
356,2015,10,6,autumn,Tuesday,2015-10-06
357,2006,9,29,autumn,Friday,2006-09-29
358,2000,11,12,autumn,Sunday,2000-11-12
359,2004,7,30,summer,Friday,2004-07-30
360,2012,7,11,summer,Wednesday,2012-07-11
361,2007,11,9,autumn,Friday,2007-11-09
362,1999,10,6,autumn,Wednesday,1999-10-06
363,1999,10,6,autumn,Wednesday,1999-10-06
364,2010,2,2,winter,Tuesday,2010-02-02
365,2003,6,9,summer,Monday,2003-06-09
366,2003,9,30,autumn,Tuesday,2003-09-30
367,2006,9,29,autumn,Friday,2006-09-29
368,2003,6,9,summer,Monday,2003-06-09
369,2000,8,22,summer,Tuesday,2000-08-22
370,2010,10,14,autumn,Thursday,2010-10-14
371,2000,8,15,summer,Tuesday,2000-08-15
372,2008,1,21,winter,Monday,2008-01-21
373,2010,10,14,autumn,Thursday,2010-10-14
374,2010,6,1,summer,Tuesday,2010-06-01
375,2006,6,16,summer,Friday,2006-06-16
376,2012,1,25,winter,Wednesday,2012-01-25
377,2012,2,16,winter,Thursday,2012-02-16
378,2009,10,8,autumn,Thursday,2009-10-08
379,2006,11,17,autumn,Friday,2006-11-17
380,1999,10,17,autumn,Sunday,1999-10-17
381,2007,3,27,spring,Tuesday,2007-03-27
382,2005,3,25,spring,Friday,2005-03-25
383,1999,11,30,autumn,Tuesday,1999-11-30
384,1999,12,13,winter,Monday,1999-12-13
385,2007,7,31,summer,Tuesday,2007-07-31
386,2009,10,5,autumn,Monday,2009-10-05
387,2004,8,2,summer,Monday,2004-08-02
388,2007,10,30,autumn,Tuesday,2007-10-30
389,1999,4,18,spring,Sunday,1999-04-18
390,1999,4,18,spring,Sunday,1999-04-18
391,1999,4,18,spring,Sunday,1999-04-18
392,1999,12,28,winter,Tuesday,1999-12-28
393,2006,4,28,spring,Friday,2006-04-28
394,2004,12,21,winter,Tuesday,2004-12-21
395,1999,8,31,summer,Tuesday,1999-08-31
396,2006,6,27,summer,Tuesday,2006-06-27
397,2011,5,28,spring,Saturday,2011-05-28
398,2006,6,27,summer,Tuesday,2006-06-27
399,2000,11,14,autumn,Tuesday,2000-11-14
400,2006,9,29,autumn,Friday,2006-09-29
401,2004,7,11,summer,Sunday,2004-07-11
402,1999,4,18,spring,Sunday,1999-04-18
403,2001,6,12,summer,Tuesday,2001-06-12
404,2001,6,12,summer,Tuesday,2001-06-12
405,2000,8,29,summer,Tuesday,2000-08-29
406,2002,1,1,winter,Tuesday,2002-01-01
407,2006,1,23,winter,Monday,2006-01-23
408,2010,4,8,spring,Thursday,2010-04-08
409,2010,4,8,spring,Thursday,2010-04-08
410,1998,8,25,summer,Tuesday,1998-08-25
411,2007,2,9,winter,Friday,2007-02-09
412,2000,8,29,summer,Tuesday,2000-08-29
413,2007,10,23,autumn,Tuesday,2007-10-23
414,2008,10,5,autumn,Sunday,2008-10-05
415,2004,8,13,summer,Friday,2004-08-13
416,1999,2,14,winter,Sunday,1999-02-14
417,2012,1,23,winter,Monday,2012-01-23
418,2010,7,27,summer,Tuesday,2010-07-27
419,2011,9,18,autumn,Sunday,2011-09-18
420,2010,4,13,spring,Tuesday,2010-04-13
421,1998,8,25,summer,Tuesday,1998-08-25
422,2012,1,24,winter,Tuesday,2012-01-24
423,2012,1,10,winter,Tuesday,2012-01-10
424,2011,7,23,summer,Saturday,2011-07-23
425,2009,11,14,autumn,Saturday,2009-11-14
426,2009,11,14,autumn,Saturday,2009-11-14
427,2009,11,14,autumn,Saturday,2009-11-14
428,2009,11,14,autumn,Saturday,2009-11-14
429,2012,2,5,winter,Sunday,2012-02-05
430,2012,4,29,spring,Sunday,2012-04-29
431,2012,4,12,spring,Thursday,2012-04-12
432,2007,10,20,autumn,Saturday,2007-10-20
433,2011,4,16,spring,Saturday,2011-04-16
434,2011,10,23,autumn,Sunday,2011-10-23
435,2009,10,6,autumn,Tuesday,2009-10-06
436,2011,4,6,spring,Wednesday,2011-04-06
437,2012,5,25,spring,Friday,2012-05-25
438,2008,2,12,winter,Tuesday,2008-02-12
439,2010,5,18,spring,Tuesday,2010-05-18
440,2010,5,18,spring,Tuesday,2010-05-18
441,2011,6,29,summer,Wednesday,2011-06-29
442,2009,10,31,autumn,Saturday,2009-10-31
443,2009,1,27,winter,Tuesday,2009-01-27
444,2009,10,29,autumn,Thursday,2009-10-29
445,2009,10,29,autumn,Thursday,2009-10-29
446,2012,2,8,winter,Wednesday,2012-02-08
447,2012,2,25,winter,Saturday,2012-02-25
448,2012,2,25,winter,Saturday,2012-02-25
449,2011,3,30,spring,Wednesday,2011-03-30
450,2011,10,23,autumn,Sunday,2011-10-23
451,2013,7,9,summer,Tuesday,2013-07-09
452,2012,9,3,autumn,Monday,2012-09-03
453,2003,2,25,winter,Tuesday,2003-02-25
454,2008,12,23,winter,Tuesday,2008-12-23
455,2005,12,26,winter,Monday,2005-12-26
456,2008,10,3,autumn,Friday,2008-10-03
457,2003,10,4,autumn,Saturday,2003-10-04
458,2006,2,21,winter,Tuesday,2006-02-21
459,2010,1,28,winter,Thursday,2010-01-28
460,2010,1,25,winter,Monday,2010-01-25
461,2011,9,5,autumn,Monday,2011-09-05
462,2007,2,9,winter,Friday,2007-02-09
463,2006,11,5,autumn,Sunday,2006-11-05
464,2007,10,29,autumn,Monday,2007-10-29
465,2000,7,23,summer,Sunday,2000-07-23
466,2010,6,16,summer,Wednesday,2010-06-16
467,2004,3,2,spring,Tuesday,2004-03-02
468,2001,5,29,spring,Tuesday,2001-05-29
469,2003,11,4,autumn,Tuesday,2003-11-04
470,2006,6,27,summer,Tuesday,2006-06-27
471,2006,6,27,summer,Tuesday,2006-06-27
472,2008,4,13,spring,Sunday,2008-04-13
473,2008,4,13,spring,Sunday,2008-04-13
474,2008,4,13,spring,Sunday,2008-04-13
475,2008,7,22,summer,Tuesday,2008-07-22
476,2008,7,22,summer,Tuesday,2008-07-22
477,2010,11,9,autumn,Tuesday,2010-11-09
478,2012,7,31,summer,Tuesday,2012-07-31
479,2004,1,24,winter,Saturday,2004-01-24
480,2004,1,24,winter,Saturday,2004-01-24
481,2005,12,20,winter,Tuesday,2005-12-20
482,2012,6,26,summer,Tuesday,2012-06-26
483,2004,7,12,summer,Monday,2004-07-12
484,2004,12,23,winter,Thursday,2004-12-23
485,2004,7,12,summer,Monday,2004-07-12
486,2012,6,22,summer,Friday,2012-06-22
487,2008,7,22,summer,Tuesday,2008-07-22
488,2002,3,14,spring,Thursday,2002-03-14
489,2010,3,30,spring,Tuesday,2010-03-30
490,2006,8,30,summer,Wednesday,2006-08-30
491,2007,7,18,summer,Wednesday,2007-07-18
492,2005,4,3,spring,Sunday,2005-04-03
493,2010,1,12,winter,Tuesday,2010-01-12
494,2002,8,6,summer,Tuesday,2002-08-06
495,2012,7,24,summer,Tuesday,2012-07-24
496,2002,11,8,autumn,Friday,2002-11-08
497,2006,10,7,autumn,Saturday,2006-10-07
498,2006,4,25,spring,Tuesday,2006-04-25
499,2006,9,29,autumn,Friday,2006-09-29
500,2001,11,13,autumn,Tuesday,2001-11-13
501,2006,6,28,summer,Wednesday,2006-06-28
502,2012,8,11,summer,Saturday,2012-08-11
503,2008,11,23,autumn,Sunday,2008-11-23
504,2002,5,23,spring,Thursday,2002-05-23
505,2007,5,22,spring,Tuesday,2007-05-22
506,2007,5,22,spring,Tuesday,2007-05-22
507,2007,1,16,winter,Tuesday,2007-01-16
508,2009,5,19,spring,Tuesday,2009-05-19
509,2004,12,14,winter,Tuesday,2004-12-14
510,2006,5,26,spring,Friday,2006-05-26
511,2006,5,26,spring,Friday,2006-05-26
512,2004,8,3,summer,Tuesday,2004-08-03
513,2006,8,11,summer,Friday,2006-08-11
514,2008,8,7,summer,Thursday,2008-08-07
515,2004,1,13,winter,Tuesday,2004-01-13
516,2007,3,4,spring,Sunday,2007-03-04
517,2008,11,11,autumn,Tuesday,2008-11-11
518,2010,9,5,autumn,Sunday,2010-09-05
519,2007,1,12,winter,Friday,2007-01-12
520,2000,1,25,winter,Tuesday,2000-01-25
521,2003,1,13,winter,Monday,2003-01-13
522,2009,7,22,summer,Wednesday,2009-07-22
523,2022,11,9,autumn,Wednesday,2022-11-09
524,2008,3,10,spring,Monday,2008-03-10
525,2008,3,10,spring,Monday,2008-03-10
526,2008,4,29,spring,Tuesday,2008-04-29
527,2000,6,26,summer,Monday,2000-06-26
528,2000,6,26,summer,Monday,2000-06-26
529,2003,3,7,spring,Friday,2003-03-07
530,2003,3,7,spring,Friday,2003-03-07
531,2003,10,21,autumn,Tuesday,2003-10-21
532,2007,1,23,winter,Tuesday,2007-01-23
533,2007,5,11,spring,Friday,2007-05-11
534,2014,9,9,autumn,Tuesday,2014-09-09
535,2007,10,9,autumn,Tuesday,2007-10-09
536,2014,9,9,autumn,Tuesday,2014-09-09
537,2003,8,20,summer,Wednesday,2003-08-20
538,2003,8,20,summer,Wednesday,2003-08-20
